N,C Iterative,C Memoization,Rust Iterative,Rust Memoization
380,0.001782,0.001732,0.001938,0.001902
381,0.001711,0.001676,0.001962,0.00189
382,0.001704,0.001579,0.002044,0.001934
383,0.001696,0.001571,0.001836,0.001961
384,0.001814,0.001627,0.001799,0.001924
385,0.001859,0.001634,0.001826,0.001921
386,0.00182,0.001906,0.002008,0.001955
387,0.001756,0.00212,0.001889,0.001843
388,0.001859,0.00182,0.001959,0.001904
389,0.00177,0.001592,0.001944,0.001906
390,0.001723,0.001696,0.002022,0.001929
391,0.001747,0.001688,0.001923,0.002152
392,0.001736,0.001569,0.001883,0.002167
393,0.001891,0.00165,0.001865,0.0022
394,0.001827,0.001656,0.001857,0.002017
395,0.001907,0.001707,0.001843,0.002026
396,0.001888,0.001768,0.001852,0.001925
397,0.001759,0.001815,0.001954,0.001803
398,0.00186,0.001684,0.001966,0.002012
399,0.001779,0.001676,0.001972,0.001942
400,0.001774,0.001719,0.002122,0.001901
401,0.001722,0.001684,0.001901,0.002099
402,0.00178,0.001654,0.001936,0.002252
403,0.001724,0.001601,0.001867,0.001966
404,0.001885,0.001688,0.00188,0.001977
405,0.001896,0.001629,0.001825,0.001999
406,0.001758,0.001707,0.001835,0.001897
407,0.001824,0.001744,0.001922,0.001847
408,0.001746,0.001635,0.00206,0.00188
409,0.001735,0.001699,0.001872,0.001955
410,0.001719,0.001675,0.00181,0.002132
411,0.00178,0.001687,0.001904,0.001976
412,0.001811,0.001565,0.001808,0.001955
413,0.001902,0.001635,0.001829,0.001939
414,0.001781,0.001828,0.001918,0.001942
415,0.001756,0.001721,0.00185,0.001877
416,0.001753,0.001753,0.002038,0.002
417,0.001719,0.001672,0.002039,0.001974
418,0.001738,0.001576,0.001863,0.002041
419,0.001783,0.001596,0.001938,0.002064
420,0.001867,0.001692,0.001734,0.00207
421,0.001902,0.001622,0.001795,0.001943
422,0.001907,0.001614,0.001795,0.002007
423,0.001829,0.001786,0.001852,0.001889
424,0.001804,0.001792,0.001859,0.00186
425,0.001749,0.001668,0.001965,0.001914
426,0.001754,0.001689,0.002007,0.001916
427,0.001805,0.001617,0.001986,0.002033
428,0.001747,0.001754,0.001884,0.002193
429,0.001828,0.001675,0.001882,0.001991
430,0.001807,0.001635,0.001836,0.002195
431,0.002015,0.001675,0.00189,0.00199
432,0.001798,0.001679,0.001857,0.001841
433,0.001863,0.001843,0.001922,0.001908
434,0.001745,0.001722,0.001954,0.001862
435,0.001766,0.001626,0.001965,0.001896
436,0.001779,0.001643,0.001969,0.002179
437,0.001778,0.001598,0.001924,0.002086
438,0.001749,0.001635,0.001953,0.001948
439,0.001941,0.001589,0.001806,0.002078
440,0.001903,0.001629,0.001848,0.001936
441,0.001842,0.001749,0.001851,0.001831
442,0.001758,0.001948,0.001852,0.001875
443,0.001791,0.001633,0.001986,0.001922
444,0.001765,0.001674,0.002014,0.001859
445,0.001758,0.001682,0.00191,0.002065
446,0.0018,0.001598,0.001839,0.002082
447,0.001772,0.001595,0.00182,0.001918
448,0.001893,0.001631,0.001842,0.002071
449,0.001892,0.001649,0.001867,0.001893
450,0.001762,0.001931,0.001853,0.001852
451,0.001795,0.001737,0.001834,0.001873
452,0.001824,0.001631,0.002092,0.001876
453,0.001837,0.001666,0.002068,0.002068
454,0.00183,0.001659,0.002177,0.00206
455,0.00182,0.00168,0.001926,0.002228
456,0.001784,0.001643,0.001889,0.002256
457,0.001813,0.001604,0.001913,0.002039
458,0.001852,0.001614,0.001825,0.001985
459,0.001893,0.001609,0.00181,0.001858
460,0.001821,0.001795,0.001843,0.001898
461,0.001787,0.001689,0.001983,0.00192
462,0.001796,0.001686,0.002037,0.001964
463,0.001801,0.001745,0.002049,0.001964
464,0.001792,0.001622,0.002111,0.001986
465,0.001819,0.00165,0.001863,0.002156
466,0.001766,0.001642,0.001836,0.001967
467,0.001878,0.001623,0.001866,0.001937
468,0.001899,0.001692,0.001864,0.001917
469,0.001915,0.00171,0.001871,0.001942
470,0.001826,0.001991,0.001883,0.001849
471,0.001828,0.00165,0.00208,0.002007
472,0.001806,0.001708,0.001996,0.00196
473,0.001705,0.00163,0.001961,0.002104
474,0.001703,0.001621,0.001924,0.002015
475,0.001842,0.001753,0.00197,0.002063
476,0.001826,0.001606,0.001859,0.001906
477,0.001983,0.00164,0.001875,0.00195
478,0.001943,0.001661,0.00185,0.001889
479,0.001791,0.001719,0.001837,0.001927
480,0.001784,0.00165,0.001999,0.001843
481,0.001758,0.001607,0.001995,0.00185
482,0.001759,0.001706,0.001931,0.002031
483,0.001771,0.00162,0.001822,0.002154
484,0.001882,0.001642,0.001799,0.002153
485,0.001893,0.001602,0.00184,0.002007
486,0.001914,0.001632,0.001894,0.001938
487,0.002093,0.001757,0.00195,0.001915
